file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,c92296af,vsahjwani,2025-04-12,23:22:35,-07:00,2025-04-12T23:22:35-07:00,0,4
style.css,2,css,c92296af,vsahjwani,2025-04-12,23:22:35,-07:00,2025-04-12T23:22:35-07:00,1,31
style.css,3,css,c92296af,vsahjwani,2025-04-12,23:22:35,-07:00,2025-04-12T23:22:35-07:00,1,32
style.css,4,css,c92296af,vsahjwani,2025-04-12,23:22:35,-07:00,2025-04-12T23:22:35-07:00,0,0
style.css,5,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,6,css,d97d7a19,vsahjwani,2025-04-04,23:12:26,-07:00,2025-04-04T23:12:26-07:00,0,4
style.css,7,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,33
style.css,8,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,15
style.css,9,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,15
style.css,10,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,42
style.css,11,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,18
style.css,12,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,13,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,14,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,14
style.css,15,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,2
style.css,16,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,14
style.css,17,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,18,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,19,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,22
style.css,20,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,15
style.css,21,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,17
style.css,22,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,18
style.css,23,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,24,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,25,css,4e78ad22,vsahjwani,2025-05-03,22:40:08,-07:00,2025-05-03T22:40:08-07:00,0,7
style.css,26,css,2afb799e,vsahjwani,2025-05-03,22:33:09,-07:00,2025-05-03T22:33:09-07:00,1,11
style.css,27,css,2afb799e,vsahjwani,2025-05-03,22:33:09,-07:00,2025-05-03T22:33:09-07:00,1,22
style.css,28,css,2afb799e,vsahjwani,2025-05-03,22:33:09,-07:00,2025-05-03T22:33:09-07:00,0,0
style.css,29,css,2afb799e,vsahjwani,2025-05-03,22:33:09,-07:00,2025-05-03T22:33:09-07:00,0,0
style.css,30,css,c92296af,vsahjwani,2025-04-12,23:22:35,-07:00,2025-04-12T23:22:35-07:00,0,2
style.css,31,css,c92296af,vsahjwani,2025-04-12,23:22:35,-07:00,2025-04-12T23:22:35-07:00,1,14
style.css,32,css,c92296af,vsahjwani,2025-04-12,23:22:35,-07:00,2025-04-12T23:22:35-07:00,1,11
style.css,33,css,c92296af,vsahjwani,2025-04-12,23:22:35,-07:00,2025-04-12T23:22:35-07:00,1,13
style.css,34,css,c92296af,vsahjwani,2025-04-12,23:22:35,-07:00,2025-04-12T23:22:35-07:00,1,16
style.css,35,css,c92296af,vsahjwani,2025-04-12,23:22:35,-07:00,2025-04-12T23:22:35-07:00,1,19
style.css,36,css,c92296af,vsahjwani,2025-04-12,23:22:35,-07:00,2025-04-12T23:22:35-07:00,0,0
style.css,37,css,c92296af,vsahjwani,2025-04-12,23:22:35,-07:00,2025-04-12T23:22:35-07:00,0,0
style.css,38,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,18
style.css,39,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,3
style.css,40,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,12
style.css,41,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,41
style.css,42,css,50ecefad,vsahjwani,2025-04-12,22:56:00,-07:00,2025-04-12T22:56:00-07:00,1,19
style.css,43,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,44,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,45,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,5
style.css,46,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,6
style.css,47,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,20
style.css,48,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,13
style.css,49,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,17
style.css,50,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,13
